Team,OVA,ATT,MID,DEF
Chelsea,83,73,75,74
Manchester City,83,75,76,76
Manchester United,83,78,76,77
Arsenal,81,78,73,76
Liverpool,81,75,71,73
Tottenham Hotspur,81,73,75,77
Everton,77,68,73,73
Newcastle United,77,75,70,70
Fulham,77,74,68,73
Aston Villa,76,71,68,69
Stoke City,76,74,69,73
Queens Park Rangers,76,72,72,71
Sunderland,76,66,73,70
Wolverhampton Wanderers,75,70,66,70
Blackburn Rovers,74,71,66,68
Bolton Wanderers,74,72,72,71
West Bromwich Albion,74,70,67,69
West Ham United,73,70,71,69
Swansea City,73,70,68,66
Norwich City,72,70,68,69
Birmingham City,72,68,68,67
Wigan Athletic,72,70,68,67
Leeds United,70,70,68,67
Southampton,70,69,68,65
Derby County,70,66,67,65
Leicester City,70,67,67,68
Burnley,69,63,64,65
Crystal Palace,69,64,63,66
Middlesbrough,69,63,66,66
Blackpool,69,66,66,68
Cardiff City,69,67,63,65
Reading,68,64,67,65
Nottingham Forest,68,66,66,66
Hull City,68,65,68,64
Portsmouth,68,63,65,61
Watford,67,62,63,65
Brighton & Hove Albion,67,65,66,64
Ipswich Town,67,67,65,62
Bristol City,67,65,63,63
Doncaster Rovers,67,67,66,63
Millwall,66,66,65,64
Coventry City,65,62,62,62
Barnsley,65,61,64,61
Peterborough United,65,62,61,60
