Team,OVA,ATT,MID,DEF
Chelsea,84,75,75,78
Manchester United,84,75,75,75
Arsenal,81,78,72,71
Liverpool,81,72,69,72
Manchester City,79,67,70,72
Tottenham Hotspur,79,74,73,73
Aston Villa,78,77,70,69
Everton,78,71,71,72
Blackburn Rovers,76,70,67,72
Newcastle United,76,72,71,70
West Ham United,76,66,70,68
Portsmouth,76,72,72,73
Sunderland,75,68,66,67
Bolton Wanderers,74,69,69,70
Middlesbrough,74,72,72,68
Fulham,74,70,69,68
Wigan Athletic,73,71,68,66
West Bromwich Albion,71,68,67,68
Hull City,71,66,64,63
Reading,70,70,62,61
Stoke City,70,70,66,69
Birmingham City,70,69,65,68
Charlton Athletic,68,64,61,62
Derby County,68,68,65,62
Wolverhampton Wanderers,68,64,63,62
Sheffield United,67,63,65,64
Watford,67,60,64,61
Crystal Palace,67,63,60,64
Queens Park Rangers,67,63,66,64
Ipswich Town,67,65,61,62
Bristol City,67,62,63,59
Norwich City,66,59,59,64
Burnley,66,61,60,65
Preston North End,66,60,61,63
Cardiff City,66,66,63,61
Sheffield Wednesday,65,66,63,62
Plymouth Argyle,65,64,60,63
Barnsley,65,60,60,58
Swansea City,65,56,60,61
Nottingham Forest,64,59,57,55
Blackpool,64,60,61,59
Coventry City,63,62,56,58
Southampton,63,56,59,56
Doncaster Rovers,63,59,62,61
