Team,OVA,ATT,MID,DEF
Arsenal,83,81,83,82
Chelsea,83,86,84,81
Manchester City,83,83,85,81
Manchester United,83,84,84,82
Liverpool,81,82,81,81
Tottenham Hotspur,81,85,81,81
Everton,80,85,78,79
Stoke City,78,77,78,77
Southampton,78,78,76,77
West Ham United,78,79,77,77
Leicester City,78,79,78,76
Watford,77,78,78,76
Crystal Palace,77,80,77,76
Swansea City,77,78,76,75
Sunderland,76,81,76,73
Middlesbrough,75,76,74,74
West Bromwich Albion,75,81,76,74
Hull City,75,76,74,75
Burnley,74,74,74,76
Newcastle United,74,75,74,74
AFC Bournemouth,74,74,75,74
Norwich City,73,73,73,74
Aston Villa,73,74,73,73
Leeds United,72,73,71,72
Sheffield Wednesday,72,73,71,70
Brighton & Hove Albion,72,72,73,73
Fulham,72,73,74,71
Reading,71,71,70,72
Queens Park Rangers,71,69,70,71
Birmingham City,71,70,71,71
Derby County,71,71,72,71
Wolverhampton Wanderers,71,70,72,69
Nottingham Forest,70,72,68,69
Ipswich Town,70,70,71,69
Bristol City,70,70,70,70
Brentford,70,71,70,70
Huddersfield Town,70,70,70,71
Cardiff City,70,70,68,70
Preston North End,69,68,69,70
Wigan Athletic,69,67,68,68
Blackburn Rovers,68,69,67,67
Barnsley,67,68,68,67
Burton Albion,67,66,68,67
Rotherham United,66,68,66,65
