Team,OVA,ATT,MID,DEF
Chelsea,83,82,82,81
Manchester City,82,83,82,81
Manchester United,81,85,80,75
Arsenal,80,80,80,77
Liverpool,79,79,78,75
Everton,78,78,78,78
Tottenham Hotspur,78,78,77,77
Stoke City,76,76,75,74
Southampton,76,77,75,76
Aston Villa,75,72,74,74
Newcastle United,75,74,75,74
Queens Park Rangers,75,74,74,71
West Ham United,75,75,74,72
Swansea City,75,77,74,74
Sunderland,74,76,73,72
West Bromwich Albion,74,74,74,71
Crystal Palace,73,73,73,73
Hull City,73,75,73,70
Norwich City,72,73,72,71
Leicester City,72,71,72,68
Watford,70,70,70,68
Burnley,70,71,70,71
Middlesbrough,70,68,69,69
Derby County,70,72,70,68
Fulham,70,72,68,68
Wigan Athletic,69,68,67,68
AFC Bournemouth,69,69,69,68
Cardiff City,69,68,68,70
Reading,68,68,67,68
Blackburn Rovers,68,72,66,66
Bolton Wanderers,68,69,68,66
Nottingham Forest,68,69,68,68
Charlton Athletic,68,68,69,64
Wolverhampton Wanderers,68,69,67,66
Leeds United,67,68,67,67
Sheffield Wednesday,67,65,67,66
Brighton & Hove Albion,67,66,66,67
Birmingham City,67,68,67,66
Ipswich Town,67,69,65,68
Millwall,67,62,66,64
Brentford,65,65,66,63
Huddersfield Town,65,67,65,65
Rotherham United,64,64,65,63
Blackpool,63,64,62,61
