Team,OVA,ATT,MID,DEF
Liverpool,85,86,83,80
Manchester City,85,85,86,83
Chelsea,82,82,84,82
Manchester United,82,83,82,82
Tottenham Hotspur,82,89,82,81
Arsenal,80,83,79,79
Leicester City,80,80,81,79
Everton,79,81,79,80
Wolverhampton Wanderers,79,77,81,78
West Ham United,78,79,79,77
Aston Villa,77,77,77,77
Burnley,76,75,76,77
Crystal Palace,76,77,75,75
Leeds United,76,78,76,75
Newcastle United,76,77,75,74
Southampton,76,77,77,76
Brighton & Hove Albion,75,75,76,76
Fulham,75,74,75,74
Watford,74,74,74,73
AFC Bournemouth,74,72,75,71
Norwich City,73,76,73,71
Sheffield United,73,71,74,73
West Bromwich Albion,73,74,74,72
Brentford,72,74,72,71
Reading,71,71,72,71
Blackburn Rovers,71,71,71,70
Nottingham Forest,71,71,70,70
Swansea City,71,73,71,72
Cardiff City,71,71,71,69
Preston North End,70,66,71,69
Middlesbrough,70,70,70,71
Stoke City,70,70,70,70
Sheffield Wednesday,70,69,70,69
Birmingham City,70,69,70,71
Derby County,70,68,70,69
Millwall,70,70,67,70
Bristol City,70,70,68,70
Queens Park Rangers,69,72,69,69
Luton Town,69,68,68,69
Huddersfield Town,69,68,69,69
Rotherham United,68,68,68,67
Coventry City,68,67,70,69
Barnsley,68,68,68,69
Wycombe Wanderers,67,65,66,68
