Team,OVA,ATT,MID,DEF
Chelsea,83,80,75,76
Liverpool,82,74,76,75
Manchester United,82,78,76,76
Arsenal,81,75,73,74
Manchester City,81,73,76,75
Aston Villa,79,70,72,75
Everton,79,73,73,73
Tottenham Hotspur,79,74,76,73
West Ham United,76,71,69,68
Fulham,76,73,71,71
Blackburn Rovers,75,70,72,71
Bolton Wanderers,75,70,71,72
Sunderland,75,70,68,71
Portsmouth,75,72,71,66
Birmingham City,74,74,69,72
Wigan Athletic,74,69,68,71
Stoke City,73,71,67,71
Hull City,73,68,67,64
Burnley,72,69,68,67
Newcastle United,72,67,71,69
Wolverhampton Wanderers,72,68,66,66
Middlesbrough,70,69,69,67
Queens Park Rangers,69,64,65,61
West Bromwich Albion,69,65,66,67
Reading,68,63,65,63
Bristol City,68,67,64,63
Cardiff City,68,67,63,62
Sheffield United,67,70,65,64
Crystal Palace,67,63,61,63
Preston North End,67,64,64,63
Sheffield Wednesday,67,64,63,62
Derby County,67,69,65,63
Ipswich Town,67,62,61,66
Nottingham Forest,66,67,67,63
Leicester City,66,68,63,63
Swansea City,66,62,65,60
Watford,65,59,61,62
Barnsley,65,64,62,61
Coventry City,64,63,60,59
Plymouth Argyle,64,61,63,61
Doncaster Rovers,64,61,62,58
Scunthorpe United,64,63,61,60
Blackpool,63,60,63,64
Peterborough United,61,57,58,55
