Team,OVA,ATT,MID,DEF
Chelsea,82,81,82,81
Manchester City,82,84,83,81
Manchester United,82,85,79,80
Arsenal,80,79,81,80
Liverpool,80,76,79,78
Tottenham Hotspur,80,77,80,78
Everton,78,78,78,78
Newcastle United,76,78,75,76
Swansea City,76,79,74,75
Southampton,75,76,76,73
Fulham,75,71,74,72
Norwich City,74,74,74,74
Aston Villa,74,72,71,74
Stoke City,74,76,73,73
Queens Park Rangers,74,72,73,72
West Ham United,74,76,74,72
Sunderland,74,74,73,73
West Bromwich Albion,74,70,74,72
Crystal Palace,72,71,72,71
Wigan Athletic,72,72,70,70
Hull City,72,72,71,71
Cardiff City,72,72,70,73
Reading,70,70,69,68
Watford,70,71,68,69
Bolton Wanderers,70,70,71,69
Burnley,69,70,69,69
Middlesbrough,69,71,68,66
Nottingham Forest,69,69,69,68
Brighton & Hove Albion,69,69,66,69
Derby County,69,71,70,69
Leicester City,69,70,68,67
Ipswich Town,68,67,68,69
Blackburn Rovers,67,68,66,66
Leeds United,67,68,65,67
Sheffield Wednesday,67,67,64,67
Birmingham City,67,67,66,66
Millwall,67,68,66,65
Blackpool,67,67,63,64
Doncaster Rovers,66,68,64,65
Huddersfield Town,66,67,65,64
AFC Bournemouth,66,67,67,66
Charlton Athletic,65,66,62,64
Barnsley,65,64,64,65
Yeovil Town,62,61,62,62
