Team,OVA,ATT,MID,DEF
Manchester City,82,85,83,80
Manchester United,82,86,81,82
Chelsea,81,82,80,81
Arsenal,80,80,79,80
Tottenham Hotspur,80,82,78,79
Liverpool,79,76,80,79
Newcastle United,77,81,77,77
Fulham,77,78,75,75
Everton,76,74,76,77
Aston Villa,75,74,72,71
Stoke City,75,74,74,75
Queens Park Rangers,75,77,73,74
Sunderland,75,75,73,74
West Ham United,74,75,74,72
West Bromwich Albion,74,74,74,71
Wigan Athletic,74,74,72,72
Swansea City,74,74,73,73
Norwich City,73,72,73,73
Southampton,73,73,74,71
Reading,71,72,69,71
Blackburn Rovers,70,70,67,67
Bolton Wanderers,70,69,69,70
Brighton & Hove Albion,70,69,68,68
Wolverhampton Wanderers,70,71,70,67
Cardiff City,70,72,70,68
Crystal Palace,69,70,68,67
Nottingham Forest,69,70,69,67
Birmingham City,69,70,67,68
Derby County,69,69,69,68
Hull City,69,68,69,68
Watford,68,69,67,68
Leeds United,68,69,67,68
Middlesbrough,68,69,66,68
Leicester City,68,70,67,67
Blackpool,68,70,67,68
Sheffield Wednesday,67,66,65,66
Ipswich Town,67,66,66,66
Millwall,67,69,66,65
Bristol City,66,67,66,66
Huddersfield Town,66,68,65,65
Burnley,65,68,63,63
Charlton Athletic,65,67,62,65
Barnsley,65,64,64,59
Peterborough United,64,64,64,64
