Team,OVA,ATT,MID,DEF
Manchester City,84,85,87,83
Chelsea,83,84,86,82
Manchester United,83,85,83,81
Tottenham Hotspur,83,85,83,82
Arsenal,82,84,80,81
Liverpool,81,85,81,80
Everton,79,77,80,79
Leicester City,78,79,79,76
Watford,77,78,77,75
Burnley,77,76,77,78
West Ham United,77,79,76,74
Crystal Palace,76,79,76,76
Stoke City,76,75,76,76
Southampton,76,76,77,75
West Bromwich Albion,76,79,75,77
AFC Bournemouth,76,76,75,75
Newcastle United,75,76,75,76
Brighton & Hove Albion,75,74,76,74
Swansea City,75,76,75,74
Wolverhampton Wanderers,74,75,76,72
Huddersfield Town,74,75,73,74
Aston Villa,73,73,73,73
Derby County,72,70,72,72
Fulham,72,73,74,71
Norwich City,71,73,71,70
Leeds United,71,71,71,71
Middlesbrough,71,72,72,71
Nottingham Forest,71,68,71,70
Sheffield Wednesday,71,72,71,70
Bristol City,71,72,70,73
Hull City,71,72,70,70
Cardiff City,71,72,71,72
Reading,70,70,70,69
Preston North End,70,70,70,70
Birmingham City,70,70,70,69
Ipswich Town,70,71,69,69
Brentford,70,71,70,70
Sheffield United,69,71,69,70
Queens Park Rangers,69,71,69,68
Millwall,69,69,71,69
Sunderland,69,67,70,70
Bolton Wanderers,68,68,68,69
Barnsley,68,68,67,67
Burton Albion,67,69,65,67
