Team,OVA,ATT,MID,DEF
Liverpool,85,86,84,85
Manchester City,85,84,87,86
Chelsea,84,83,86,83
Manchester United,83,85,83,81
Tottenham Hotspur,81,83,80,79
Arsenal,80,82,80,77
Leicester City,80,80,81,79
West Ham United,79,80,78,78
Aston Villa,78,79,78,79
Everton,78,78,78,77
Wolverhampton Wanderers,78,79,80,78
Newcastle United,77,77,77,77
Burnley,76,77,75,76
Crystal Palace,76,76,76,75
Leeds United,76,77,78,75
Brighton & Hove Albion,76,77,75,76
Southampton,76,75,77,76
Watford,74,75,75,73
Brentford,74,74,75,74
Fulham,74,78,74,72
Norwich City,73,75,73,73
Sheffield United,73,73,73,72
AFC Bournemouth,73,73,74,72
Blackburn Rovers,71,72,72,71
Nottingham Forest,71,71,72,71
Queens Park Rangers,71,71,71,70
West Bromwich Albion,71,71,72,71
Reading,70,72,70,70
Coventry City,70,70,72,69
Preston North End,70,68,71,69
Middlesbrough,70,72,70,70
Stoke City,70,70,71,70
Millwall,70,70,69,70
Huddersfield Town,70,69,69,70
Swansea City,70,71,70,71
Birmingham City,69,70,69,69
Bristol City,69,69,69,70
Luton Town,69,69,69,69
Cardiff City,69,67,69,68
Derby County,68,66,69,67
Barnsley,68,68,67,68
Hull City,68,68,67,67
Blackpool,67,67,69,67
Peterborough United,67,69,67,67
