Team,OVA,ATT,MID,DEF
Chelsea,83,81,82,82
Arsenal,82,82,79,80
Manchester City,82,84,82,81
Manchester United,81,69,80,77
Liverpool,79,81,79,79
Tottenham Hotspur,79,82,78,79
Everton,78,78,78,80
Newcastle United,77,77,77,75
Stoke City,77,76,78,76
Southampton,77,76,76,76
West Ham United,77,76,76,74
Crystal Palace,76,75,76,75
Leicester City,76,76,77,75
Swansea City,76,77,76,76
Aston Villa,75,74,74,74
Watford,75,77,74,74
Sunderland,75,77,74,74
West Bromwich Albion,75,76,73,73
Norwich City,74,78,74,73
AFC Bournemouth,73,72,74,72
Hull City,73,73,73,73
Middlesbrough,72,72,73,71
Sheffield Wednesday,72,73,71,70
Derby County,72,72,71,71
Burnley,71,71,71,72
Queens Park Rangers,71,71,72,70
Brighton & Hove Albion,71,70,70,71
Nottingham Forest,70,71,69,71
Charlton Athletic,70,69,67,69
Fulham,70,71,70,69
Cardiff City,70,72,68,71
Reading,69,70,70,68
Leeds United,69,70,68,68
Birmingham City,69,70,69,69
Ipswich Town,69,71,69,70
Bristol City,69,68,67,70
Blackburn Rovers,68,66,66,65
Wolverhampton Wanderers,68,69,68,68
Brentford,68,69,66,69
Bolton Wanderers,67,66,68,66
Rotherham United,67,66,65,65
Preston North End,67,68,66,66
Huddersfield Town,67,69,67,66
Milton Keynes Dons,66,69,64,66
