Team,OVA,ATT,MID,DEF
Chelsea,83,82,83,80
Manchester United,83,81,81,80
Liverpool,81,82,76,79
Arsenal,80,82,78,77
Tottenham Hotspur,78,85,77,74
Newcastle United,77,80,70,74
Blackburn Rovers,76,77,74,73
Everton,76,79,76,76
West Ham United,76,77,76,74
Portsmouth,76,81,73,73
Aston Villa,75,76,70,74
Bolton Wanderers,75,75,72,73
Manchester City,75,75,73,75
Middlesbrough,75,77,74,68
Reading,74,75,71,73
Fulham,74,77,75,72
Birmingham City,72,76,74,70
Wigan Athletic,72,74,70,73
Sunderland,71,71,72,67
West Bromwich Albion,70,70,73,67
Charlton Athletic,69,66,72,67
Derby County,69,74,71,69
Sheffield United,68,71,69,69
Watford,68,69,67,69
Wolverhampton Wanderers,67,69,63,69
Cardiff City,67,68,65,61
Norwich City,66,64,66,64
Crystal Palace,66,63,64,61
Coventry City,66,65,68,66
Southampton,66,68,66,65
Leicester City,66,69,67,66
Burnley,65,63,64,68
Preston North End,65,70,65,68
Stoke City,65,66,64,64
Ipswich Town,65,60,64,66
Sheffield Wednesday,64,64,64,67
Hull City,64,64,65,63
Barnsley,63,63,63,62
Bristol City,62,62,63,60
Plymouth Argyle,62,61,62,63
Colchester United,62,61,62,64
Queens Park Rangers,61,66,61,64
Blackpool,60,61,61,61
Scunthorpe United,60,62,56,57
