Team,OVA,ATT,MID,DEF
Chelsea,83,73,77,77
Manchester City,82,73,76,76
Manchester United,82,74,75,78
Arsenal,81,76,76,76
Liverpool,80,73,73,72
Tottenham Hotspur,80,75,78,74
Aston Villa,78,77,72,75
Everton,78,69,72,70
Fulham,77,71,71,72
Birmingham City,76,72,70,72
Blackburn Rovers,75,72,72,70
Bolton Wanderers,75,70,74,72
West Ham United,75,73,72,71
Sunderland,75,70,73,70
Newcastle United,74,71,70,70
Stoke City,74,72,69,70
West Bromwich Albion,73,71,67,70
Wolverhampton Wanderers,73,70,67,67
Wigan Athletic,73,69,69,68
Burnley,70,62,63,67
Middlesbrough,70,64,66,64
Hull City,70,68,66,65
Cardiff City,70,70,68,66
Nottingham Forest,69,66,64,65
Queens Park Rangers,69,67,67,66
Bristol City,69,65,62,64
Blackpool,69,69,68,69
Portsmouth,69,65,63,65
Sheffield United,68,69,64,65
Derby County,68,63,61,66
Swansea City,68,67,65,64
Crystal Palace,67,67,65,62
Leeds United,67,69,61,68
Ipswich Town,67,66,62,63
Leicester City,67,65,63,69
Norwich City,66,65,65,64
Reading,66,65,62,64
Coventry City,66,65,60,61
Preston North End,66,64,65,64
Barnsley,66,62,61,61
Watford,65,66,63,62
Doncaster Rovers,65,66,64,65
Millwall,64,63,62,63
Scunthorpe United,63,62,62,61
