Team,OVA,ATT,MID,DEF
Chelsea,84,86,81,80
Arsenal,82,80,78,74
Manchester United,82,78,80,82
Liverpool,81,81,76,73
Newcastle United,79,82,77,73
Tottenham Hotspur,79,80,77,77
Blackburn Rovers,77,75,77,71
Everton,77,74,74,74
Manchester City,77,74,75,75
Bolton Wanderers,76,78,71,68
Middlesbrough,76,80,75,71
West Ham United,76,77,76,77
Aston Villa,75,76,74,73
Charlton Athletic,75,76,73,70
Fulham,75,77,72,74
Portsmouth,75,77,73,75
Wigan Athletic,74,71,71,69
Birmingham City,73,71,68,72
Sheffield United,72,71,66,69
West Bromwich Albion,72,74,72,71
Reading,71,72,71,64
Sunderland,70,63,70,69
Leeds United,69,70,65,69
Southampton,69,67,68,68
Watford,68,67,67,68
Crystal Palace,68,68,67,66
Norwich City,67,65,64,67
Coventry City,67,68,68,66
Preston North End,67,70,61,64
Wolverhampton Wanderers,67,66,64,67
Leicester City,66,65,64,66
Cardiff City,66,69,67,63
Derby County,65,63,64,65
Ipswich Town,65,61,66,65
Luton Town,65,66,64,64
Stoke City,64,61,62,63
Burnley,63,62,62,63
Sheffield Wednesday,63,58,63,63
Plymouth Argyle,63,65,63,64
Hull City,63,66,60,62
Queens Park Rangers,62,60,61,62
Barnsley,61,54,58,61
Southend United,61,62,60,59
Colchester United,60,58,61,60
